Month,Year,Int Rate (%),Sales,Sales (+/-) Last Yr (%),Sales (+/-) Last Month (%),Median Price ($),Median (+/-) Last Year (%),Average List Price ($),Average Sale Price ($),% Difference Sell/List,Total Pending,Average Days On Market,Current Inventory,(+/-) Last Month,Months Inventory
January,2003,6.39,1461,11.36,-21.75,132184,7.29,171268,166057,96.96,N/a,54,7953,329,5.44
February,2003,6.04,1535,9.72,5.07,140158,10.33,172738,167890,97.19,N/a,65,7838,-115,5.11
March,2003,5.80,1938,7.07,26.25,144149,10.98,176195,171164,97.14,N/a,62,7868,30,4.06
April,2003,5.95,1922,3.06,-0.83,142009,9.12,179114,174343,97.34,N/a,65,7561,-307,3.93
May,2003,5.85,2166,3.88,12.70,145923,6.19,189080,183880,97.25,N/a,62,7610,49,3.51
June,2003,5.54,2141,10.82,-1.15,156914,12.80,201911,196631,97.38,N/a,58,7448,-162,3.48
July,2003,5.73,2384,16.86,11.35,161190,14.57,201591,196538,97.49,N/a,60,7264,-184,3.05
August,2003,6.78,2312,18.14,-3.02,157516,15.67,197303,191187,96.90,N/a,57,7213,-51,3.12
September,2003,6.67,2260,33.97,-2.25,150406,9.46,194266,188714,97.14,N/a,59,7401,188,3.27
October,2003,6.29,2238,22.63,-0.97,150610,10.76,190931,185805,97.32,N/a,61,7308,-93,3.27
November,2003,6.23,1569,-0.51,-29.89,153567,10.75,200969,195034,97.05,N/a,60,N/a,N/a,N/a
December,2003,5.38,2235,19.71,42.45,150946,7.55,197380,190058,96.29,N/a,61,6712,N/a,3.00